Navn,Adresse,Status,Takster,Type,Pladser,Kapacitet,Kontaktperson,Email,Telefon,Årsomsætning,Overskud,Lønomkostninger_Administrativt,Lønomkostninger_Personale,Omkostninger_til_ikke_fastansat_personale,Soliditetsgrad,Procentmæssigt_overskud_i_forhold_til_omsætningen,Samlede_lønomkostninger_i_forhold_til_omsætningen,Ejendomsomkostninger_i_forhold_til_omsætningen,Personalegennemstrømningen_på_tilbuddet,latitude,longitude
Sillerup Station (Opholdsstedet Stationen),"Fjelstrupvej 129
    

    6100 Haderslev","Godkendt
        26-11-2024","1.653,76 - 1.653,76 kr.","Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3
            
        
            
                Botilbud til midlertidige ophold, § 107","0 - Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3
                
            
                
                    3 - Botilbud til midlertidige ophold, § 107","3 pladser -
                Kontakt afdelingen om ledige pladser",Michael Lau,stationen@inst-stationen.dk,74567522,20.407.228 kr.,4.090.510 kr.,1.269.624 kr.,5.929.714 kr.,2.794.552 kr.,"57,48 %","20,04 %","60,49 %","3,2 %","4,3 %",55.302121,9.560497
Bjergbo Hus A og Platanvej 14 (Bjergbo),"Fjordlystvej 4
    

    7700 Thisted","Godkendt
        08-01-2025",2.466 - 6.227 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 1","7 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 1","7 pladser -
            ingen ledige",Ane Kirk,aki@thisted.dk,24837894,30.314.890 kr.,-6.237.766 kr.,53.484 kr.,25.220.895 kr.,5.262.908 kr.,,"-20,58 %","104,81 %","4,01 %","15,4 %",56.957211,8.712952
"Bjergbo Hus B, C og D (Bjergbo)","Fjordlystvej 4
    

    7700 Thisted","Godkendt
        08-01-2025",1.877 - 3.362 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 1","23 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 1","23 pladser -
            ingen ledige",Ane Kirk,aki@thisted.dk,24837894,30.314.890 kr.,-6.237.766 kr.,53.484 kr.,25.220.895 kr.,5.262.908 kr.,,"-20,58 %","104,81 %","4,01 %","15,4 %",56.957211,8.712952
Møllehuset,"Fjordlystvej 6
    

    7700 Thisted","Godkendt med vilkår
        12-11-2024","4.244,31 - 4.244,31 kr.","Botilbud til midlertidige ophold, § 107
            
        
            
                Børne- og ungehjem som døgninstitution, § 43, stk. 1, nr. 6, og stk. 3","2 - Botilbud til midlertidige ophold, § 107
                
            
                
                    10 - Børne- og ungehjem som døgninstitution, § 43, stk. 1, nr. 6, og stk. 3","10 pladser -
                Kontakt afdelingen om ledige pladser",Helle Marensa Pedersen,hjp@thisted.dk,20232655,,,,,,,,,,,56.956816,8.712786
Flintebjerg Vest (Center for Handicap - Flintebjerg - afdeling Øst og afdeling vest),"Flintebjerg 48
    

    4960 Holeby","Godkendt
        26-06-2024",2.873 - 2.873 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","8 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","8 pladser -
            ingen ledige",Louise Rasmussen,Louir@lolland.dk,29603071,17.202.815 kr.,631.050 kr.,332.295 kr.,12.383.436 kr.,1.192.406 kr.,,"3,67 %","84,61 %","1,25 %","26,8 %",54.714442,11.463739
"Fogedvænget, Specialområde Børn og Unge","Fogedvænget 25
    

    8722 Hedensted","Godkendt
        30-10-2024",2.611 - 2.747 kr.,"Børne- og ungehjem som døgninstitution, § 43, stk. 1, nr. 6, og stk. 3
            
        
            
                Botilbud til midlertidige ophold, § 107","10 - Børne- og ungehjem som døgninstitution, § 43, stk. 1, nr. 6, og stk. 3
                
            
                
                    5 - Botilbud til midlertidige ophold, § 107","10 pladser -
                Kontakt afdelingen om ledige pladser",Tine Hejlesen,tinhej@rm.dk,20517124,,,,,,,,,,,55.766421,9.697821
Afdeling C (Fønix ApS),"Foldbjergvej 16
    

    9760 Vrå","Godkendt
        04-03-2024","2.756,57 - 3.185 kr.","Botilbud til midlertidige ophold, § 107
            
        
            
                Botilbud til længerevarende ophold, § 108
            
        
            
                Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3","5 - Botilbud til midlertidige ophold, § 107
                
            
                
                    1 - Botilbud til længerevarende ophold, § 108
                
            
                
                    0 - Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3","5 pladser -
            ingen ledige",Alex Poulsen,ap@fonixvv.dk,41905651,57.015.348 kr.,8.153.366 kr.,2.309.436 kr.,24.326.249 kr.,4.596.567 kr.,"42,1 %","14,3 %","61,06 %","9,1 %",13 %,57.351686,9.959625
Afdeling A (Fønix ApS),"Foldbjergvej 16
    

    9760 Vrå","Godkendt
        04-03-2024","2.756,57 - 3.185 kr.","Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3
            
        
            
                Botilbud til længerevarende ophold, § 108
            
        
            
                Botilbud til midlertidige ophold, § 107","0 - Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3
                
            
                
                    1 - Botilbud til længerevarende ophold, § 108
                
            
                
                    5 - Botilbud til midlertidige ophold, § 107","1 pladser -
            ingen ledige",Alex Poulsen,ap@fonixvv.dk,41905651,57.015.348 kr.,8.153.366 kr.,2.309.436 kr.,24.326.249 kr.,4.596.567 kr.,"42,1 %","14,3 %","61,06 %","9,1 %",13 %,57.351686,9.959625
Afdeling B (Fønix ApS),"Foldbjergvej 16
    

    9760 Vrå","Godkendt
        04-03-2024","2.756,57 - 3.185 kr.","Botilbud til midlertidige ophold, § 107
            
        
            
                Botilbud til længerevarende ophold, § 108
            
        
            
                Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3","9 - Botilbud til midlertidige ophold, § 107
                
            
                
                    1 - Botilbud til længerevarende ophold, § 108
                
            
                
                    0 - Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3","1 pladser -
                Kontakt afdelingen om ledige pladser",Alex Poulsen,ap@fonixvv.dk,41905651,57.015.348 kr.,8.153.366 kr.,2.309.436 kr.,24.326.249 kr.,4.596.567 kr.,"42,1 %","14,3 %","61,06 %","9,1 %",13 %,57.351686,9.959625
Afdeling D (Fønix ApS),"Foldbjergvej 16
    

    9760 Vrå","Godkendt
        04-03-2024","2.756,57 - 3.185 kr.","Botilbud til midlertidige ophold, § 107
            
        
            
                Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3
            
        
            
                Botilbud til længerevarende ophold, § 108","5 - Botilbud til midlertidige ophold, § 107
                
            
                
                    0 - Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3
                
            
                
                    1 - Botilbud til længerevarende ophold, § 108","5 pladser -
            ingen ledige",Alex Poulsen,ap@fonixvv.dk,41905651,57.015.348 kr.,8.153.366 kr.,2.309.436 kr.,24.326.249 kr.,4.596.567 kr.,"42,1 %","14,3 %","61,06 %","9,1 %",13 %,57.351686,9.959625
Førslev Bygade 16 A (Socialpædagogisk Center - Øst),"Førslev Bygade 16A
    

    4690 Haslev","Godkendt
        20-02-2025",392 - 11.058 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","8 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","8 pladser -
                Kontakt afdelingen om ledige pladser",Gitte Poulsen,gpoul@faxekommune.dk,20374152,33.626.583 kr.,-979.750 kr.,998.590 kr.,23.858.381 kr.,5.385.130 kr.,,"-2,91 %","95,33 %","4,32 %","12,07 %",55.355057,11.901233
"Fredensgade (Center for Socialpsykiatri, ADHD og Autisme)","Fredensgade 30
    

    6900 Skjern","Godkendt
        16-01-2025",198 - 2.131 kr.,"Beskyttet beskæftigelsestilbud, § 103
            
        
            
                Aktivitets- og samværstilbud, § 104
            
        
            
                Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2
            
        
            
                Botilbud til midlertidige ophold, § 107","5 - Beskyttet beskæftigelsestilbud, § 103
                
            
                
                    5 - Aktivitets- og samværstilbud, § 104
                
            
                
                    12 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2
                
            
                
                    4 - Botilbud til midlertidige ophold, § 107","4 pladser -
            ingen ledige",Tina Ebdrup Lundorff Skole,tina.ebdrup@rksk.dk,20614690,23.171.344 kr.,-1.739.297 kr.,718.314 kr.,14.844.034 kr.,1.377.841 kr.,,"-7,51 %","78,86 %","8,45 %","17,7 %",55.945023,8.502224
Botræningen Lillebo,"Frederik Andersensvej 9
    

    4400 Kalundborg","Godkendt
        02-05-2025",1.837 - 1.837 kr.,"Botilbud til midlertidige ophold, § 107","10 - Botilbud til midlertidige ophold, § 107","10 pladser -
                Kontakt afdelingen om ledige pladser",Louise Nielsen,lown@kalundborg.dk,24594977,,,,,,,,,,,55.684961,11.09679
Opgangsbofællesskabet Frederiksborgvej 2,"Frederiksborgvej 2
    

    3450 Allerød","Godkendt
        10-04-2025","825,08 - 825,08 kr.","Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 1","8 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 1","8 pladser -
            ingen ledige",Johan Banach,jgrd@alleroed.dk,29336743,,,,,,,,,,,55.867941,12.356524
Botilbud Tipsvænget 1 (Fonden Skovhaven),"Frederiksgade 17D
    

    5700 Svendborg","Godkendt med vilkår
        13-12-2024","556,18 - 5.758,34 kr.","Botilbud til længerevarende ophold, § 108
            
        
            
                Botilbud til midlertidige ophold, § 107","6 - Botilbud til længerevarende ophold, § 108
                
            
                
                    7 - Botilbud til midlertidige ophold, § 107","7 pladser -
                Kontakt afdelingen om ledige pladser",Helle Præstekjær,hsp@skovhaven-fyn.dk,25367437,21.975.879 kr.,62.323 kr.,2.627.795 kr.,9.619.371 kr.,1.299.289 kr.,"25,24 %","0,28 %","67,62 %","12,3 %",27 %,55.058908,10.612188
Botilbud Dronningholmsvej - Afd. Korsgade (Fonden Skovhaven),"Frederiksgade 17D
    

    5700 Svendborg","Godkendt med vilkår
        13-12-2024","0 - 2.484,22 kr.","Botilbud til midlertidige ophold, § 107
            
        
            
                Botilbudslignende tilbud, Lejebolig, Lejeloven","5 - Botilbud til midlertidige ophold, § 107
                
            
                
                    3 - Botilbudslignende tilbud, Lejebolig, Lejeloven","3 pladser -
                Kontakt afdelingen om ledige pladser",Helle Præstekjær,hsp@skovhaven-fyn.dk,25367437,21.975.879 kr.,62.323 kr.,2.627.795 kr.,9.619.371 kr.,1.299.289 kr.,"25,24 %","0,28 %","67,62 %","12,3 %",27 %,55.058908,10.612188
Habitus Huset Frederiksværksgade,"Frederiksværksgade 160
    

    3400 Hillerød","Godkendt
        03-12-2024","1.933,76 - 10.676,21 kr.","Botilbud til længerevarende ophold, § 108
            
        
            
                Aktivitets- og samværstilbud, § 104
            
        
            
                Botilbud til midlertidige ophold, § 107","10 - Botilbud til længerevarende ophold, § 108
                
            
                
                    12 - Aktivitets- og samværstilbud, § 104
                
            
                
                    2 - Botilbud til midlertidige ophold, § 107","10 pladser -
                Kontakt afdelingen om ledige pladser",Elizabeth Bergstrøm,ehb@habitus.dk,20610241,,,,,,,,,,,55.94324,12.24376
Fredskovvej,"Fredskovvej 3
    

    4293 Dianalund","Godkendt
        24-02-2025",2.483 - 5.076 kr.,"Aktivitets- og samværstilbud, § 104
            
        
            
                Botilbud til længerevarende ophold, § 108","12 - Aktivitets- og samværstilbud, § 104
                
            
                
                    12 - Botilbud til længerevarende ophold, § 108","12 pladser -
                Kontakt afdelingen om ledige pladser",Bo Pihl,A03E@kk.dk,23837955,,,,,,,,,,,55.530097,11.510017
Annekset (Kjærsholm Botilbud),"Fregerslevvej 20
    

    8362 Hørning","Godkendt
        01-05-2025",2.378 - 2.745 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","6 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2","6 pladser -
                Kontakt afdelingen om ledige pladser",Bo Løve Farsø Sommer,Bo.Love@skanderborg.dk,24288702,15.760.704 kr.,-1.247.556 kr.,172.000 kr.,11.424.041 kr.,1.875.888 kr.,,"-7,92 %","91,99 %","5,3 %","29,2 %",56.079662,10.035542
Kjærsholm Botilbud,"Fregerslevvej 20
    

    8362 Hørning","Godkendt
        01-05-2025",2.378 - 4.211 kr.,"Botilbud til midlertidige ophold, § 107","17 - Botilbud til midlertidige ophold, § 107","17 pladser -
            ingen ledige",Bo Løve Farsø Sommer,Bo.Love@skanderborg.dk,24288702,15.760.704 kr.,-1.247.556 kr.,172.000 kr.,11.424.041 kr.,1.875.888 kr.,,"-7,92 %","91,99 %","5,3 %","29,2 %",56.079662,10.035542
Botilbuddet Birkely - Fristrupvej (Botilbuddet Birkely),"Fristrupvej 2
    

    9440 Aabybro","Godkendt
        26-03-2025","3.542,2 - 6.489,11 kr.","Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3
            
        
            
                Botilbud til midlertidige ophold, § 107","2 - Børne- og ungehjem som opholdssted, § 43, stk. 1, nr. 6, og stk. 3
                
            
                
                    4 - Botilbud til midlertidige ophold, § 107","4 pladser -
                Kontakt afdelingen om ledige pladser",Frederik From,info@birke-ly.dk,98279022,13.615.366 kr.,31.271 kr.,651.053 kr.,8.827.632 kr.,109.383 kr.,"38,1 %","0,23 %","81,65 %","6,13 %",0 %,57.153396,9.740647
Hus 2 (Frøgård Alle 6),"Frøgård Alle 6
    

    2630 Taastrup","Godkendt
        21-10-2024",2.330 - 2.330 kr.,"Botilbud til længerevarende ophold, § 108","8 - Botilbud til længerevarende ophold, § 108","8 pladser -
            ingen ledige",Jette Remmer,Jettere@htk.dk,51244523,19.526.388 kr.,-2.042.675 kr.,638.373 kr.,13.915.883 kr.,1.314.435 kr.,,"-10,46 %","88,24 %",11 %,"10,8 %",55.64884,12.257409
Hus 1 (Frøgård Alle 6),"Frøgård Alle 6
    

    2630 Taastrup","Godkendt
        21-10-2024",3.192 - 3.192 kr.,"Botilbud til længerevarende ophold, § 108","8 - Botilbud til længerevarende ophold, § 108","8 pladser -
                Kontakt afdelingen om ledige pladser",Jette Remmer,Jettere@htk.dk,51244523,19.526.388 kr.,-2.042.675 kr.,638.373 kr.,13.915.883 kr.,1.314.435 kr.,,"-10,46 %","88,24 %",11 %,"10,8 %",55.64884,12.257409
Hus 3 (Frøgård Alle 6),"Frøgård Alle 6
    

    2630 Taastrup","Godkendt
        21-10-2024",2.330 - 2.330 kr.,"Botilbud til længerevarende ophold, § 108","8 - Botilbud til længerevarende ophold, § 108","8 pladser -
            ingen ledige",Jette Remmer,Jettere@htk.dk,51244523,19.526.388 kr.,-2.042.675 kr.,638.373 kr.,13.915.883 kr.,1.314.435 kr.,,"-10,46 %","88,24 %",11 %,"10,8 %",55.64884,12.257409
Bakkehuset,"Fuglemosevej 13
    

    8620 Kjellerup","Godkendt
        14-11-2024",310 - 2.987 kr.,"Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2
            
        
            
                Aktivitets- og samværstilbud, § 104","16 - Botilbudslignende tilbud, Almen ældrebolig/handicapvenlig bolig, ABL § 105 stk. 2
                
            
                
                    8 - Aktivitets- og samværstilbud, § 104","8 pladser -
            ingen ledige",Kirsten Filtenborg,KirstenBoegh.Filtenborg@silkeborg.dk,91170813,,,,,,,,,,,56.284601,9.423507
